Algoritmo,N,Run,Solucion,H,Optimo,Tiempo,Estados_Evaluados
Backtracking,15,7,"[0, 2, 4, 1, 9, 11, 13, 3, 12, 8, 5, 14, 6, 10, 7]",0,True,0.01099705696105957,105
Forward Checking,15,7,"[0, 2, 4, 1, 9, 11, 13, 3, 12, 8, 5, 14, 6, 10, 7]",0,True,0.007926464080810547,105
Backtracking,15,8,"[0, 2, 4, 1, 9, 11, 13, 3, 12, 8, 5, 14, 6, 10, 7]",0,True,0.014000177383422852,105
Forward Checking,15,8,"[0, 2, 4, 1, 9, 11, 13, 3, 12, 8, 5, 14, 6, 10, 7]",0,True,0.004000186920166016,105
Backtracking,15,9,"[0, 2, 4, 1, 9, 11, 13, 3, 12, 8, 5, 14, 6, 10, 7]",0,True,0.009501457214355469,105
Forward Checking,15,9,"[0, 2, 4, 1, 9, 11, 13, 3, 12, 8, 5, 14, 6, 10, 7]",0,True,0.003999948501586914,105
Backtracking,15,10,"[0, 2, 4, 1, 9, 11, 13, 3, 12, 8, 5, 14, 6, 10, 7]",0,True,0.009000062942504883,105
Forward Checking,15,10,"[0, 2, 4, 1, 9, 11, 13, 3, 12, 8, 5, 14, 6, 10, 7]",0,True,0.004000186920166016,105
Backtracking,15,11,"[0, 2, 4, 1, 9, 11, 13, 3, 12, 8, 5, 14, 6, 10, 7]",0,True,0.009999752044677734,105
Forward Checking,15,11,"[0, 2, 4, 1, 9, 11, 13, 3, 12, 8, 5, 14, 6, 10, 7]",0,True,0.0039997100830078125,105
